rank,programme_name,institution,job_title,employer_sector,location,job_url,hybrid_score,semantic_score,top_skill_gaps
4,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,MS Power Developer with verification,,"Vilnius, Vilniaus, Lithuania",https://www.linkedin.com/jobs/view/4388682909/?eBP=CwEAAAGdXU_3LZ3gL4U7BnbsjIpQgqlX7Tn-Ceqb0RuNSARraIpZ9TdSn_iOS3kR2LA7B4E0pWSje839r0d5kLSIpCE_3u2b3ChPf40TSMbzm9E6F1ikSdja8_d8wtRI3UKX-QpAbCl42qNkythu4U4t7QQk38mlpHAswdPK1G_3rhBO5UGqhRKEU9qogDM8y636hWupxhspfE7TO308hxKSp87V9RmdXTyFrNl6y1j5rXzKDXWCDDmeaw_LdAMhB3DW-iX7HBmgnzRN1XnpSQ44i7nsOnYbiSBK-EfkkhDUI337_ShuaWQo6fH_J-RLprg025JbAKGAdjbDNciS9Uaywb9boIrcbHRCth6N-gk1z8ANTonRqpTjJ2wTihx_D_D6Gu5Pz0ZA_oahiNJoOzS_7VdTnLOPLcWdZTYjfB-jBe5q1VJJEUtsUBgGgGsgiMHYyvIWjF0_fULYR7KpWHG7FyVtMZ9_o8sxiReLsXuDO1PyW1IWkiMUmqikwuHj1zoop1uzBe-MXz3wwEZeBQ0s2PqUsl5a_--KrkMOYQ&refId=wk4fVenEURubDB1Ehtm5HQ%3D%3D&trackingId=O3SCG%2FbG%2FA%2FfnBafzp8pQw%3D%3D&trk=flagship3_search_srp_jobs,0.1162,0.562,SQL; NoSQL; Java (computer programming); machine learning; asset management; test procedures; troubleshoot; control systems; Python (computer programming); economics
5,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,IT SUPPORTER with development opportunity in Data Integration,,Marijampolė,https://en.cvbankas.lt/it-supporter-with-development-opportunity-in-data-integration-marijampoleje/1-13685295,0.1068,0.5205,troubleshoot; Lithuanian; environmental engineering; lead others; electronic communication; personal development; interact verbally in Lithuanian; think analytically; assume responsibility
6,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,Software helpdesk – junior IT Analyst,,Vilnius,https://en.cvbankas.lt/software-helpdesk-junior-it-analyst-vilniuje/1-13753555,0.1024,0.5884,
7,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,Full stack developer with verification,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4372609852/?eBP=CwEAAAGdXU_zAXfyj33quo4hBhSxWg1MWkU3rN_b6lHUlGLvOMoNMO4jsvgffLMy7ZkBT9xJ0iXvAFevUofirzztr0qFQqf5fNU9ZrYTLwLmGot7Nvwf37hRADwiNfTimU1yhowPXI8Q_9DgiMr1zuiPYnboZSNSwBbrNmR4yUSePH6XapixPwz8qlcn4T-k3HmArQp2-0wGsn4vbfHQdwp2EgRdv9ObazE7ADDZsiNwU2zFzkqIlbx2w-prwZuHLwfVF0iyrzcunN3dvuCsvGGzmc63XjE5ryvaWzGT5p54eBcsaNAhsKFcvwllzILKNsUPZ32v-TrJR2SgQgaHGfyHDoEe_91T0QXQ8WnulSX6P048bcfwUWVSZV_hkuH-HjCkXsZ9RmHqr6sbwrCiKN9KxVCMsDN5FQjcQPzkoZacceNRBqs1K5pGjyi3R-fPD7OkS52jK_Ly_Kx7xCRCqxntMURbWluyN17LhURFEc1gE-bjcXad2TLDrjNLsVbz9uurnQCjNjT6gHvpsT0WOgcrP7drHTrxtQ&refId=6i6qglSW0W6eFOYOHvBmjw%3D%3D&trackingId=G30vqdoia52YCAqRT3YMrw%3D%3D&trk=flagship3_search_srp_jobs,0.094,0.5577,TypeScript; style sheet languages; DevOps; Python (computer programming); tools for software configuration management; demonstrate curiosity; Jenkins (tools for software configuration management); JavaScript; data analytics; dies
8,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,FINANSINIŲ SISTEMŲ VYSTYMO ANALITIKAS (-Ė),,Vilnius,https://en.cvbankas.lt/finansiniu-sistemu-vystymo-analitikas-e-vilniuje/1-13559576,0.0906,0.597,accounting; draw blueprints; use online tools to collaborate
9,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,FULL STACK PROGRAMUOTOJAS (-A),,Vilnius,https://en.cvbankas.lt/full-stack-programuotojas-a-vilniuje/1-13749131,0.0874,0.5617,Java (computer programming); database; C#; MySQL; SQL; PostgreSQL; database management systems; tools for software configuration management; Android (mobile operating systems)
10,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,IT PRAKTIKANTAS (-Ė) — SISTEMŲ KONFIGŪRAVIMAS,,Kaunas,https://en.cvbankas.lt/it-praktikantas-e-sistemu-konfiguravimas-kaune/1-13763965,0.0846,0.5359,database; manage time; interact verbally in English
1,Informatics,Vilnius University,IT SUPPORTER with development opportunity in Data Integration,,Marijampolė,https://en.cvbankas.lt/it-supporter-with-development-opportunity-in-data-integration-marijampoleje/1-13685295,0.2347,0.3913,troubleshoot; English; operating systems; environmental engineering; lead others; electronic communication; personal development; interact verbally in Lithuanian; assume responsibility
2,Informatics,Vilnius University,Vyr. sistemų analitikas (-ė) (NTR modernizavimui),,Vilnius,https://en.cvbankas.lt/vyr-sistemu-analitikas-e-ntr-modernizavimui-vilniuje/1-13768673,0.1783,0.4075,English; provide technical documentation; morality; manage time; think creatively; work in teams; accounting; create solutions to problems; assume responsibility; demonstrate curiosity
3,Informatics,Vilnius University,ERP konsultantas (-ė) (SCM),,Vilnius,https://en.cvbankas.lt/erp-konsultantas-e-scm-vilniuje/1-13763515,0.1658,0.3922,English; communication; consultation; business processes; digitization; migration; manage time; perform procurement processes; think analytically
4,Informatics,Vilnius University,.NET programuotojas (-a),,Vilnius,https://en.cvbankas.lt/net-programuotojas-a-vilniuje/1-13749675,0.1471,0.3827,SQL; English; C#; SQL Server; work independently; computer programming; manage time; think creatively; think analytically; ICT project management methodologies
5,Informatics,Vilnius University,.NET programuotojas (-a),,Vilnius,https://en.cvbankas.lt/net-programuotojas-a-vilniuje/1-13750639,0.1413,0.3918,English; ICT project management methodologies; tools for software configuration management; C#; morality; control systems; develop strategy to solve problems; manage time; think creatively; work in teams
6,Informatics,Vilnius University,IT ANALITIKAS (-Ė),,Kaunas,https://en.cvbankas.lt/it-analitikas-e-kaune/1-13682887,0.135,0.4131,English; communication; design process; business processes; ICT project management methodologies; think creatively; assume responsibility; work in teams; document evidence; solve problems
7,Informatics,Vilnius University,JAVA programuotojas (-a) (Integraciniams sprendimams),,Vilnius,https://en.cvbankas.lt/java-programuotojas-a-integraciniams-sprendimams-vilniuje/1-13749639,0.1251,0.3986,English; Java (computer programming); ICT project management methodologies; tools for software configuration management; SQL; morality; web services; control systems; manage time; think creatively
8,Informatics,Vilnius University,Riedmenų IT sistemų inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/riedmenu-it-sistemu-inzinierius-e-vilniuje/1-13715991,0.1172,0.4017,English; communication; maintenance operations; manage time; troubleshoot; organise training; consultation; economics; cyber security; business processes
9,Informatics,Vilnius University,IT VERSLO ANALITIKAS (-Ė),,Vilnius,https://en.cvbankas.lt/it-verslo-analitikas-e-vilniuje/1-13685665,0.1163,0.3948,"communication; organise information, objects and resources; solution deployment; use online tools to collaborate; think analytically; consultation; economics; DevOps; SAP Data Services; business processes"
10,Informatics,Vilnius University,Sistemos ekspertas (-ė),,Vilnius,https://en.cvbankas.lt/sistemos-ekspertas-e-vilniuje/1-13751383,0.1136,0.3976,English; communication; troubleshoot; organise training; manage time; maintenance operations; cyber security; business processes; work independently; transportation engineering
1,Informatics Systems,Vytautas Magnus University,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,,Vilnius,https://en.cvbankas.lt/dirbtinio-intelekto-inziniere-ius-it-skyriuje-vilniuje/1-13749365,0.2909,0.567,English; Lithuanian; work in teams; think analytically; show entrepreneurial spirit
2,Informatics Systems,Vytautas Magnus University,IT inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/it-inzinierius-e-vilniuje/1-13713495,0.2597,0.4596,English; computer programming; digital data processing
3,Informatics Systems,Vytautas Magnus University,Programuotojas / AI (DI) inžinierius,,Vilnius,https://en.cvbankas.lt/programuotojas-ai-di-inzinierius-vilniuje/1-13706229,0.2569,0.5061,SQL; logic; work independently; solution deployment; tools for software configuration management
4,Informatics Systems,Vytautas Magnus University,Python Developer with verification,,"Kaunas, Kaunas, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4382110244/?eBP=CwEAAAGdXU_zAVAO_JkHnUlWlq5FTm2w9txS4zk3plJpD_WDALDSR-nZEKyX51oUhopH7xJqiX9vn5IIISLcNk12wJXmwHGuOw2uMeUVwQiN4CZ4Y3MGNZ7Tf2PFp5XHfafvWmurdNcrtBuezqono6WP1xFhXSSXgbRK2cP8TWsE0OkDAJRlYZotnixVG_cs-XakUnSD2iVNa16_GWZKtbmauxh9nmm_1REnv848AuKo98-NauVb2gFXiAy7ozAqlhTOmr6lZRHGDaK_klYpmxfDXsxNHCSCcHXZolAneLEuKU09mSYofPrldExOtWMuV8zkwVMzb1LuI1iU1PadyLto1y39Hc_xq0rjNv4EFJEhYdvWtv_6xPGyxWLokBe2OvpGrgTt47o4nowLRwCuReaySGj-iR7t5Q2vqxFOYLLA_CGoKI5444s3RZVM_L5eCSPIWM3TDpV3YhG31zw8irxXIeRVN65g1t5XyQDAwpbJ-BI8diQMQqCjvh0JewDqq3RuU9fLSt1obXfuRQ&refId=6i6qglSW0W6eFOYOHvBmjw%3D%3D&trackingId=ugrRJrGrl32EkgEAU%2BN8ag%3D%3D&trk=flagship3_search_srp_jobs,0.211,0.4802,SQL; work independently; web services; Python (computer programming); perform cleaning duties; business intelligence; childbirth; team building; make decisions; computer vision
5,Informatics Systems,Vytautas Magnus University,IT specialistas procesų automatizavimui,,Kaunas,https://en.cvbankas.lt/it-specialistas-procesu-automatizavimui-kaune/1-13254683,0.1921,0.5137,logic; Python (computer programming); digital data processing; improve business processes; Lithuanian; migration; data models; negotiate compromises; show entrepreneurial spirit; address an audience
6,Informatics Systems,Vytautas Magnus University,IT sistemų ir skaitmenizacijos vadovas (-ė),,Panevėžys,https://en.cvbankas.lt/it-sistemu-ir-skaitmenizacijos-vadovas-e-panevezyje/1-13702931,0.187,0.4942,computer equipment; digitization; make decisions; perform warehousing operations; manage time; SAP Data Services; operating systems; think analytically; assume responsibility; work in teams
7,Informatics Systems,Vytautas Magnus University,DIRBTINIO INTELEKTO IR AUTOMATIZACIJŲ VADOVAS (-Ė),,Vilnius,https://en.cvbankas.lt/dirbtinio-intelekto-ir-automatizaciju-vadovas-e-vilniuje/1-13752609,0.1723,0.4564,Lithuanian; think analytically; assume responsibility; demonstrate curiosity; work in teams; show entrepreneurial spirit; logic; Python (computer programming); digital data processing; improve business processes
8,Informatics Systems,Vytautas Magnus University,📢 IEŠKOME IT SKYRIAUS VADOVO (-ĖS),,Vilnius,https://en.cvbankas.lt/ieskome-it-skyriaus-vadovo-es-vilniuje/1-13743017,0.1721,0.5671,English; lead a team; digitization; manage time; assume responsibility; work in teams; customer relationship management; business intelligence; Lithuanian; manufacturing processes
9,Informatics Systems,Vytautas Magnus University,Join our team as a JUNIOR System Analyst!,,Work from home,https://en.cvbankas.lt/join-our-team-as-a-junior-system-analyst-darbas-namuose/1-13699867,0.1684,0.4568,English; design principles; meet deadlines; manage time; team building; improve business processes; report facts; adopt ways to reduce pollution; schedule production; think critically
10,Informatics Systems,Vytautas Magnus University,Data Scientist / AI Engineer with verification,,"Vilnius, Vilniaus, Lithuania (On-site)",https://www.linkedin.com/jobs/view/4378189302/?eBP=CwEAAAGdXVTxFMm-4oPYFNosv8Vf7Vsb1WuHxZHn1TZFI315fEJU7OFidrXII-DqPZrfrJIgaGKhRs8AUBf_ux485rW8KssKzCz7NdMMYlAC2uyM2tM8bEddorYX5YWfyFVB07UL2mAYGVaoelQVkolalAXP676UGgk2qs-Uj0ulo27RsevBdAoszoIYkWZWvH9lK-mTMGrx_PWUz5IP1Kf4M5K4IF-gwxyWRi4qpnBnlqpdCHGGv3KYFUD7RhHM5z6L1S93nGWJ5Yv6vjcofk-i7GvULxBCddQPxocU_WDHAf27uZ4amKO1fWa02UPll5f9bdZFgRXCD6Wwyi5JXttGWLGsAcBfUVbG9LdLi_wBW1HZBB1FZ3cLfNL2RDoN4JE6lSnCqJjLvGVFqFz0PbByxh4lNdd-h_QXLLF6xcOyqr6Q-Z1iFoe_ULyugiqIXY4SKq8At-InYo9iOiOG3cy8p6e6ajE30HkjtIZePtMBst1REGSSsIdURDjW2R1-eqEBQfERWPL3iG09H_fKKQxEvn8enGI6WYxkhQCl1bWZ&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=6mOXpn4lFQrodgSou4vGSg%3D%3D&trk=flagship3_search_srp_jobs,0.167,0.5791,SQL; NoSQL; PostgreSQL; Python (computer programming); Android (mobile operating systems); ML (computer programming); computer vision; unstructured data; cognitive computing; operating systems
1,Cybersecurity Technologies,Vilnius Business College,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),,Vilnius,https://en.cvbankas.lt/pazeidziamumu-valdymo-isilauzimu-testavimo-specialistas-e-vilniuje/1-13194248,0.3525,0.5748,penetration testing tool; computer programming; Python (computer programming); apply change management; security regulations
2,Cybersecurity Technologies,Vilnius Business College,Cyber Security Specialist,,Vilnius,https://en.cvbankas.lt/cyber-security-specialist-vilniuje/1-13680669,0.2863,0.6286,DevOps; web application security threats; in-circuit test; economics; think analytically; implement ICT recovery system; cloud security and compliance; security regulations; risk management; Python (computer programming)
3,Cybersecurity Technologies,Vilnius Business College,KIBERNETINIO SAUGUMO VADOVAS (-Ė),,Kaunas,https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.2798,0.668,apply change management; security regulations; computer programming; Python (computer programming); penetration testing tool
4,Cybersecurity Technologies,Vilnius Business College,SOC analitikas (-ė) kibernetinių grėsmių paieškai,,Vilnius,https://en.cvbankas.lt/soc-analitikas-e-kibernetiniu-gresmiu-paieskai-vilniuje/1-13395656,0.2607,0.593,computer programming; Python (computer programming); penetration testing tool; apply change management; security regulations; apply information security policies; think analytically; ICT security standards; provide information
5,Cybersecurity Technologies,Vilnius Business College,IRT specialistas (-ė) (SOC ir IT saugos sritis) | Technologijų skyrius,,Vilnius,https://en.cvbankas.lt/irt-specialistas-e-soc-ir-it-saugos-sritis-technologiju-skyrius-vilniuje/1-13733709,0.2567,0.5143,in-circuit test; digital identity management; negotiate compromises; manage time; advise others; computer programming; provide information; apply information security policies; security regulations; electronic communication
6,Cybersecurity Technologies,Vilnius Business College,IT administratorius (-ė),,Kaunas,https://en.cvbankas.lt/it-administratorius-e-kaune/1-13637509,0.2265,0.584,digital identity management; patents; renewable energy; manage digital documents; security regulations; consultation; assume responsibility; electrical equipment components; in-circuit test; negotiate compromises
7,Cybersecurity Technologies,Vilnius Business College,Informacijos saugumo vadovas (-ė) (CISO),,Vilnius,https://en.cvbankas.lt/informacijos-saugumo-vadovas-e-ciso-vilniuje/1-13692969,0.2205,0.5681,information security strategy; assessment processes; electricity; coordinate security; security regulations; cloud security and compliance; manage time; assume responsibility; think analytically
8,Cybersecurity Technologies,Vilnius Business College,Information Security Specialist,,Vilnius,https://en.cvbankas.lt/information-security-specialist-vilniuje/1-13736475,0.1969,0.5124,German; consultation; coordinate security; implement ICT recovery system; assume responsibility; risk management
9,Cybersecurity Technologies,Vilnius Business College,IT saugumo inžinierė (-ius) - konsultantė (-as),,Vilnius,https://en.cvbankas.lt/it-saugumo-inziniere-ius-konsultante-as-vilniuje/1-13700401,0.1962,0.4876,cloud security and compliance; manage time; electronic communication
10,Cybersecurity Technologies,Vilnius Business College,Software Test Manager,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4396864190/?eBP=CwEAAAGdXVntZ7QsJYdUiu8Quf2GLuTTaOTbIIsW9fX6b22tbTV_bzCb37ZozkiX5KRayb4GUv1BQqTcF7_xxu1CYrOUTFAmTQpvL7WT0ezznSeyoo8tnS53k7PdamQpWdQE1UqDd7UvGyrO1-0tV8CO0vUXpvrzw61sQgCd5Hiue2Y5R-jNfHa-q8RJNHvUIL_k3YxcMjH_qkx18ch3tLAo8yOgjkGhc12AyiXwuae_8KXKt_xLmPlZdxJtcYohz3FYc3kq0nk8on8MGllXZaxDvi-BS_yRekVzrT83rzBbrsJ74A5-3oZop43Bv6dA_BI_mZrIOpqt0DBlzABSMeQ09ktdQGYEnLc0DhN4inH40tN8PywrJJhOooLoF1Mmoi7Do5ibMrpf3YfKlPOdQvgxDVErgdj_fZ5nydCszfqkhj5q3Bo97h_xdUrfPxP-bIcziNhX-reFZKVmE_9Xh5AnemC5pN9OswbRXPtpfZLXTkCiCj78YIoAA-66Vr54GB0t1Q04kYNIOnwq30xG7nUUr6F6J_Q&refId=6GiEAUVSkDxSu6caJTFUxQ%3D%3D&trackingId=xn00lydtjakgzkFEZO4imw%3D%3D&trk=flagship3_search_srp_jobs,0.1908,0.515,manage tests; ICT project management methodologies; manage time; mechanical systems; embedded systems; troubleshoot; electronics; C++; French; Java (computer programming)
1,Computer games and animation,SMK College of Applied Sciences,Game Designer,,Vilnius,https://en.cvbankas.lt/game-designer-vilniuje/1-13401896,0.4575,0.5406,Android (mobile operating systems); English; mechanics; JavaScript; Java (computer programming); geometry; C#; physics; TypeScript; C++
2,Computer games and animation,SMK College of Applied Sciences,Gameplay Programmer,,Vilnius,https://en.cvbankas.lt/gameplay-programmer-vilniuje/1-9413531,0.3948,0.5744,JavaScript; English; Android (mobile operating systems); Java (computer programming); geometry; C#; physics; TypeScript; C++; demonstrate curiosity
3,Computer games and animation,SMK College of Applied Sciences,Junior QA Mobile Game Tester,,Vilnius,https://en.cvbankas.lt/junior-qa-mobile-game-tester-vilniuje/1-9804975,0.331,0.5019,English; operating systems; report facts
4,Computer games and animation,SMK College of Applied Sciences,Vyr. IT projektų vadovas (-ė),,"Kaunas, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4378346135/?eBP=BUDGET_EXHAUSTED_JOB&refId=PiFLR9Mgdm2lRnwhShP3aw%3D%3D&trackingId=5xGUtjU5wkZAgVoe55mQ%2Fg%3D%3D&trk=flagship3_search_srp_jobs,0.2553,0.5085,DevOps; ICT project management methodologies; technical terminology; create prototype of user experience solutions; TypeScript; style sheet languages; C++; SQL; resource description framework query language; Python (computer programming)
5,Computer games and animation,SMK College of Applied Sciences,AI Analyst,,Vilnius,https://en.cvbankas.lt/ai-analyst-vilniuje/1-13694389,0.1516,0.5168,SQL; English; computer vision; data engineering; physics; economics; consultation; ICT project management methodologies; Python (computer programming); environmental engineering
6,Computer games and animation,SMK College of Applied Sciences,Senior IT Project Manager (REMOTE),,Work from home,https://en.cvbankas.lt/senior-it-project-manager-remote-darbas-namuose/1-13699765,0.1286,0.4709,English; Russian; ICT project management methodologies; lead others
7,Computer games and animation,SMK College of Applied Sciences,Join our PPM team as a System Analyst! 🚀,,Work from home,https://en.cvbankas.lt/join-our-ppm-team-as-a-system-analyst-darbas-namuose/1-13660457,0.1246,0.5434,schedule production; think critically; business processes; team building; think analytically; adopt ways to reduce pollution; design principles; meet deadlines; improve business processes; report facts
8,Computer games and animation,SMK College of Applied Sciences,LiveOps Specialist (Games),,Vilnius,https://en.cvbankas.lt/liveops-specialist-games-vilniuje/1-13722407,0.1239,0.4678,English; logic; use online tools to collaborate
9,Computer games and animation,SMK College of Applied Sciences,B2B IT Projektų vadovas (-ė),,Vilnius,https://en.cvbankas.lt/b2b-it-projektu-vadovas-e-vilniuje/1-13758119,0.1086,0.4969,accounting; perform project management; manage time; assume responsibility; cyber security; business processes; solve problems; make independent operating decisions; SAP Data Services; digitization
10,Computer games and animation,SMK College of Applied Sciences,IT PROJECT MANAGER/ IT PROJEKTŲ VADOVAS,,Vilnius,https://en.cvbankas.lt/it-project-manager-it-projektu-vadovas-vilniuje/1-12272436,0.0802,0.4867,English; ICT project management methodologies; give massages; think analytically; improve business processes; lead others; cyber security; business processes; solve problems; make independent operating decisions
1,Media Technologies,Vilnius Business College,Senior IT Project Manager (REMOTE),,Work from home,https://en.cvbankas.lt/senior-it-project-manager-remote-darbas-namuose/1-13699765,0.3223,0.4943,Russian; ICT project management methodologies; lead others
2,Media Technologies,Vilnius Business College,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),,Vilnius,https://en.cvbankas.lt/jaunesnysis-ioji-socialiniu-tinklu-reklamos-dizaineris-e-it-projektu-specialistas-e-vilniuje/1-13750591,0.2595,0.6102,solve problems; react to events in time-critical environments
3,Media Technologies,Vilnius Business College,Paid Summer Internship in the IT Department,,Klaipėda,https://en.cvbankas.lt/paid-summer-internship-in-the-it-department-klaipedoje/1-13752753,0.249,0.5541,computer engineering; design thinking; brainstorm ideas
4,Media Technologies,Vilnius Business College,IT projektų vadovė (-as),,Klaipėda,https://en.cvbankas.lt/it-projektu-vadove-as-klaipedoje/1-12847891,0.2037,0.5613,ICT project management methodologies; communicate with customers; team building; manage time; statistics; customer relationship management; business law; business processes; apply change management; think analytically
5,Media Technologies,Vilnius Business College,IT SISTEMŲ TESTUOTOJAS (-A),,Kaunas,https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-9459234,0.1764,0.4955,style sheet languages; ICT project management methodologies; think analytically; manage time; electronic communication; detect bottlenecks
6,Media Technologies,Vilnius Business College,IT PROJECT MANAGER/ IT PROJEKTŲ VADOVAS,,Vilnius,https://en.cvbankas.lt/it-project-manager-it-projektu-vadovas-vilniuje/1-12272436,0.1696,0.5312,ICT project management methodologies; give massages; think analytically; improve business processes; lead others; cyber security; business processes; solve problems; make independent operating decisions; DevOps
7,Media Technologies,Vilnius Business College,Telekomunikacijų specialistas – bazinių stočių montuotojas LIETUVA,,Vilnius,https://en.cvbankas.lt/telekomunikaciju-specialistas-baziniu-stociu-montuotojas-lietuva-vilniuje/1-13540245,0.1636,0.4993,German; history; procurement of ICT network equipment; electrical engineering; have computer literacy; maintain equipment; team building; perform project management; assume responsibility
8,Media Technologies,Vilnius Business College,PRODUKTŲ VADOVAS (-Ė),,Vilnius,https://en.cvbankas.lt/produktu-vadovas-e-vilniuje/1-13753687,0.1633,0.5181,ICT system integration; Swift (computer programming); manage time; assume responsibility; create prototype of user experience solutions
9,Media Technologies,Vilnius Business College,Junior Front-End Developer,,Kaunas,https://en.cvbankas.lt/junior-front-end-developer-kaune/1-13750941,0.1621,0.5361,German; JavaScript; TypeScript; ICT project management methodologies; create prototype of user experience solutions; style sheet languages; Agile development; politics; Jenkins (tools for software configuration management); demonstrate curiosity
10,Media Technologies,Vilnius Business College,Join our Marketing Team as a Website and Content Specialist,,Šiauliai,https://en.cvbankas.lt/join-our-marketing-team-as-a-website-and-content-specialist-siauliuose/1-13746459,0.1488,0.5455,team building; lead others; assume responsibility; adopt ways to reduce pollution; TypeScript; JavaScript; PostgreSQL; style sheet languages; Python (computer programming); financial forecasting
1,Multimedia and Internet Technologies,Vytautas Magnus University,Techninio aptarnavimo specialistas (-ė) - darbas studentams!,,Vilnius,https://en.cvbankas.lt/techninio-aptarnavimo-specialistas-e-darbas-studentams-vilniuje/1-13760729,0.4375,0.4718,demonstrate curiosity; manage time
2,Multimedia and Internet Technologies,Vytautas Magnus University,IT specialisto (-ės) asistentas (-ė) Vilniuje,,Vilnius,https://en.cvbankas.lt/it-specialisto-es-asistentas-e-vilniuje-vilniuje/1-13697171,0.3242,0.4496,Android (mobile operating systems); office software; troubleshoot; think analytically; cyber security; accounting
3,Multimedia and Internet Technologies,Vytautas Magnus University,Junior Web Developer - EU,,European Union (Remote),https://www.linkedin.com/jobs/view/4389080234/?eBP=CwEAAAGdXU_zASg4TwgZKUAiTxrKKJH-4gVPbmYxNlxlzZvE3qLOBdOh7nW5jkgxKK_CfCrbjlZqMvW8S84crk4xHdP4feNzIq5BVb3U4ibbvI3pQpWL0F6e8v8X92u7-ixIpqPlJ2EyA6n9O7ZIgO76RL-JlTRT8YNxXrsBMlH3DCpaQEKoV5qv72oexdzjoJc1kMSjdZRud2QmJiGlHb-DpXP5SpGFNzT1LKeexOPLSlaUTA5uohhraQnLXN6yWMgDQ2KI_HDSG6I2NoGNRjUShNryd-UAeEm_dzU-vtQCG_zfHrYLFZpNMmdVKhcIx3OuuhwBE4glwTTb1IZyuz2kjn9-ua9OZFxdILLHIYh9vNkWIhPwRWnNAUC_n11k-SC4HuhXrNWy47V2IJ0Bu1-TAWc-hBFzeECOLFAZnjN06lKsF1rKGlaHUy_c0DYTBGyBH7hzOJR7cLbATQJIgxdFde8GQzIhIjJqg7JGbp8JF1wZeLXJxmPh5AmCCq_8aNW05qU2o3iRmObs4c5uUONPrs-zMll961gUez--OUxFvpU&refId=6i6qglSW0W6eFOYOHvBmjw%3D%3D&trackingId=OX8dd8PLCLsZiMIJUlT4jQ%3D%3D&trk=flagship3_search_srp_jobs,0.2806,0.491,JavaScript; TypeScript; style sheet languages; history; automation technology; Python (computer programming); delegate responsibilities; tools for software configuration management; demonstrate curiosity; Source (digital game creation systems)
4,Multimedia and Internet Technologies,Vytautas Magnus University,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),,Vilnius,https://en.cvbankas.lt/jaunesnysis-ioji-socialiniu-tinklu-reklamos-dizaineris-e-it-projektu-specialistas-e-vilniuje/1-13750591,0.2729,0.5537,solve problems; react to events in time-critical environments
5,Multimedia and Internet Technologies,Vytautas Magnus University,Principal UX/UI Engineer with verification,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4385527160/?eBP=CwEAAAGdXVJzL-ZYItpBJnbOWNkH1FZIY45yClo5MJCZqaLseX6zIy3GLLErc_W0JVxYqurXjCbmUWUTxkfdrR2bt6OwC5nlZG-kK1DMFvrCN0mrMTgXAD1ehbZkCoW0p10PXNjxKlEDjdX70AmSPN5uYpr-MdBm-NcqdIQ8aog3OAMrjsX8QES62VTkhSUjv9FKlI3eSnPcvpza_3JkhxbOgOcTexW0b2EyMtNMxATDYnPQ0edX_i9ZUKtRE2mu5oPgzzJ6aYKwzzuQGhxvutfgUK6I5TZuR3m3dNe5QoN3qlxDzFbZFv4rST8ihVuicBPZnonbmaCSEpfUQAKwFLBd1QNyreTWg7qfn9VlPGyze08k6l44Z4DUKFEbyPPvTMz55R7NJzv3AneMR4vmINwlShnbrAwl1CkvTah5P6c1D_I6dg9X--SSAvhaoFoju9-MZs7rYlnmt_syOs09TjVQG98cXcvBDQ8vG3K46cU8Tj0M660ey8czn7H2dMHE7JvqK8whqSK5HpbabNzK98t1QrDh2exzc_omPJIpNg&refId=9cGkUbOOhOKqDBgZIBV0VQ%3D%3D&trackingId=ok1a5PBMVOT1x34kr0AGrw%3D%3D&trk=flagship3_search_srp_jobs,0.2609,0.5172,JavaScript; style sheet languages; human-computer interaction; design thinking; software interaction design; lead others; create prototype of user experience solutions; TypeScript; Java (computer programming); work independently
6,Multimedia and Internet Technologies,Vytautas Magnus University,Software Engineer (.Net) / Programuotojas inžinierius (.Net),,Vilnius,https://en.cvbankas.lt/software-engineer-net-programuotojas-inzinierius-net-vilniuje/1-13539917,0.2395,0.4512,English; firmware; optical engineering; types of insurance; printed circuit boards; Python (computer programming); health and safety in the workplace; industrial research and development; manage time
7,Multimedia and Internet Technologies,Vytautas Magnus University,Paid Summer Internship in the IT Department,,Klaipėda,https://en.cvbankas.lt/paid-summer-internship-in-the-it-department-klaipedoje/1-13752753,0.2288,0.4915,English; computer engineering; design thinking; brainstorm ideas
